"Incident, Date","Total, Number, of, Dead, and, Missing","Number, of, Survivors","Number, of, Females","Number, of, Males","Number, of, Children","Region, of, Origin","Cause, of, Death","Migration, route","Location, of, death",Coordinates
2021-06-01,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-06-03,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Yazd, province,, Iran","54.75878479, 31.96625955"
2021-06-03,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Yazd, province,, Iran","54.75878479, 31.96625955"
2021-01-10,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Iranshahr, district,, Sistan, &, Baluchestan, province,, Iran","60.68482798, 27.21161534"
2021-06-12,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Urmia, county,, West, Azerbaijan, province,, Iran","44.95937698, 37.56427965"
2021-06-14,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-06-19,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-06-19,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Yazd, province,, Iran","54.75878479, 31.96625955"
2021-06-21,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-06-22,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Urmia, county,, West, Azerbaijan, province,, Iran","44.95937698, 37.56427965"
2021-06-24,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Isfahan, province,, Iran","52.5058072, 32.2537812"
2021-06-26,1,,,,1,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-07-01,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Isfahan, province,, Iran","52.5058072, 32.2537812"
2021-07-15,1,,1,,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-09-12,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Isfahan, province,, Iran","52.5058072, 32.2537812"
2021-09-12,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-09-14,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Yazd, province,, Iran","54.75878479, 31.96625955"
2021-09-14,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-10-06,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-10-07,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-10-07,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-10-09,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-10-14,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-10-18,1,,,,1,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-01-16,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Zahedan, district,, Sistan, &, Baluchestan, province,, Iran","60.86744515, 29.47645121"
2021-10-19,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Qazvin, province,, Iran","49.87005574, 36.07730236"
2021-01-16,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Zahedan, district,, Sistan, &, Baluchestan, province,, Iran","60.86744515, 29.47645121"
2021-02-05,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Saravan, district,, Sistan, &, Baluchestan, province,, Iran","62.35316592, 27.35022729"
2021-02-08,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Khash, district,, Sistan, &, Baluchestan, province,, Iran","61.1960476, 28.22983422"
2021-10-27,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Urmia, county,, West, Azerbaijan, province,, Iran","44.95937698, 37.56427965"
2021-02-08,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Saravan, district,, Sistan, &, Baluchestan, province,, Iran","62.35316592, 27.35022729"
2021-02-10,1,,,,1,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Jiroft, district,, Kerman, province,, Iran","57.57054013, 28.95046741"
2021-02-10,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, between, Lar, and, Shiraz, cities,, Fars, district,, Iran","53.33652472, 28.72996721"
2021-02-13,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Kahnuj, district,, Kerman, province,, Iran","57.72427834, 27.99566687"
2021-02-14,1,,,,1,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Yazd, district,, Yazd, province,, Iran","54.33057395, 31.88472913"
2021-11-22,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-02-14,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Mobarakeh, district,, Isfahan, province,, Iran","52.51348965, 31.84338571"
2021-11-24,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-11-24,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-11-24,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-11-24,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-11-24,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-11-24,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-11-25,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-11-30,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-12-01,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-12-07,1,,,,1,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-12-15,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-12-16,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-12-23,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-12-27,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-12-28,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-12-28,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-12-28,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-12-28,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-12-29,1,,,,1,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Tehran, province,, Iran","51.3896004, 35.6892523"
2021-02-15,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Yazd, district,, Yazd, province,, Iran","54.33057395, 31.88472913"
2021-02-15,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Khash, district,, Sistan, &, Baluchestan, province,, Iran","61.1960476, 28.22983422"
2021-02-15,1,,,,1,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Khash, district,, Sistan, &, Baluchestan, province,, Iran","61.1960476, 28.22983422"
2021-02-15,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Khash, district,, Sistan, &, Baluchestan, province,, Iran","61.1960476, 28.22983422"
2021-02-15,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Khash, district,, Sistan, &, Baluchestan, province,, Iran","61.1960476, 28.22983422"
2021-02-16,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Iranshahr, district,, Sistan, &, Baluchestan, province,, Iran","60.68482798, 27.21161534"
2021-02-17,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Kerman, district,, Kerman, province,, Iran","57.0662465, 30.27629382"
2021-02-18,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-02-21,1,,,,1,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Zehak, district,, Sistan, &, Baluchestan, province,, Iran","61.68389773, 30.89202146"
2021-02-22,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Khash, district,, Sistan, &, Baluchestan, province,, Iran","61.1960476, 28.22983422"
2021-02-26,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Zabol, district,, Sistan, &, Baluchestan, province,, Iran","61.50177317, 31.05124289"
2021-02-26,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Zabol, district,, Sistan, &, Baluchestan, province,, Iran","61.50177317, 31.05124289"
2021-02-27,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Yazd, district,, Yazd, province,, Iran","54.33057395, 31.88472913"
2021-02-27,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Raja, district,, Sistan, &, Baluchestan, province,, Iran","60.85182954, 29.51929069"
2021-02-28,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Bandar-e-Abbas, county,, Hormozgan, Province,, Iran","56.23307736, 27.1892535"
2021-03-01,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Zabol, district,, Sistan, &, Baluchestan, province,, Iran","61.50177317, 31.05124289"
2021-03-01,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Rigan, district,, Kerman, province,, Iran","58.8606437, 28.5056084"
2021-03-01,1,,,,1,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Zabol, district,, Sistan, &, Baluchestan, province,, Iran","61.50177317, 31.05124289"
2021-03-02,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Kahnuj, district,, Kerman, province,, Iran","57.72427834, 27.99566687"
2021-03-02,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bandar, Abbas, district,, Hormozgan, province,, Iran","56.2781423, 27.1793466"
2021-03-05,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bandar, Abbas, district,, Hormozgan, province,, Iran","56.2781423, 27.1793466"
2021-03-07,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-03-09,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Isfahan, district,, Isfahan, province,, Iran","52.5058072, 32.2537812"
2021-03-10,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Iranshahr, district,, Sistan, &, Baluchestan, province,, Iran","60.68482798, 27.21161534"
2021-03-10,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Chenaran, district,, Razavi, Khorasan, province,, Iran","59.0964723, 36.8127762"
2021-03-11,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Jiroft, district,, Kerman, province,, Iran","57.57054013, 28.95046741"
2021-03-11,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bandar, Abbas, district,, Hormozgan, province,, Iran","56.2781423, 27.1793466"
2021-03-12,1,,1,,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Ganaveh, district,, Bushehr, province,, Iran","50.66559392, 29.59303024"
2021-03-16,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Zabol, district,, Sistan, &, Baluchestan, province,, Iran","61.50177317, 31.05124289"
2021-03-16,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Zabol, district,, Sistan, &, Baluchestan, province,, Iran","61.50177317, 31.05124289"
2021-03-18,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-03-18,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-03-18,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-03-18,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-03-18,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-03-18,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-03-18,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-03-18,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-03-19,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-03-19,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-03-21,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Saravan, district,, Sistan, &, Baluchestan, province,, Iran","62.35316592, 27.35022729"
2021-03-24,1,,,1,,"Southern, Asia","Accidental, death","Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-03-28,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bandar-e-Abbas, county,, Hormozgan, Province,, Iran","56.23307736, 27.1892535"
2021-03-28,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Rudan, district,, Hormozgan, province,, Iran","57.1494704, 27.5435505"
2021-03-29,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-03-30,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-03-31,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-03-31,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-03-31,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-03-31,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Shahr-e, Babek, district,, Kerman, province,, Iran","54.9222443, 30.2624"
2021-03-31,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Yazd, district,, Yazd, province,, Iran","54.33057395, 31.88472913"
2021-04-02,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Bandar, Abbas, district,, Hormozgan, province,, Iran","56.2781423, 27.1793466"
2021-04-03,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Saravan, district,, Sistan, &, Baluchestan, province,, Iran","62.35316592, 27.35022729"
2021-04-04,1,,,,1,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bandar, Abbas, district,, Hormozgan, province,, Iran","56.2781423, 27.1793466"
2021-04-04,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-04-04,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Bam, district,, Kerman, province,, Iran","58.1782498, 29.1403563"
2021-04-04,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Saravan, district,, Sistan, &, Baluchestan, province,, Iran","62.35316592, 27.35022729"
2021-04-04,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, between, Mashhad, and, Chenaran, cities,, Iran","59.39773944, 36.44746436"
2021-04-05,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Zahedan, district,, Sistan, &, Baluchestan, province,, Iran","60.86744515, 29.47645121"
2021-04-07,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, at, the, border, between, Bushehr, and, Hormozgan, provinces,, Iran","52.8090266, 27.35710118"
2021-04-08,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Zehak, district,, Sistan, &, Baluchestan, province,, Iran","61.68389773, 30.89202146"
2021-04-08,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Saravan, district,, Sistan, &, Baluchestan, province,, Iran","62.35316592, 27.35022729"
2021-04-10,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Zahedan, district,, Sistan, &, Baluchestan, province,, Iran","60.86744515, 29.47645121"
2021-04-10,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Zahedan, district,, Sistan, &, Baluchestan, province,, Iran","60.86744515, 29.47645121"
2021-04-10,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Mirjaveh, district,, Sistan, &, Baluchestan, province,, Iran","61.1628427, 28.868884"
2021-04-13,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Zehak, district,, Sistan, &, Baluchestan, province,, Iran","61.68389773, 30.89202146"
2021-04-13,1,,,1,,"Southern, Asia",Violence,"Afghanistan, to, Iran","Unspecified, location, in, Zehak, district,, Sistan, &, Baluchestan, province,, Iran","61.68389773, 30.89202146"
2021-04-14,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-04-18,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Kerman, district,, Kerman, province,, Iran","57.0662465, 30.27629382"
2021-04-19,1,,,1,,"Southern, Asia","Sickness, /, lack, of, access, to, adequate, healthcare","Afghanistan, to, Iran","Unspecified, location, in, Bushehr, city,, Bushehr, province,, Iran","50.90279461, 28.89461767"
2021-04-21,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Sharistan, Jam,, Bushehr, province,, Iran","52.32536, 27.82817"
2021-04-22,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Kahnuj, district,, Kerman, province,, Iran","57.72427834, 27.99566687"
2021-04-23,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Jiroft, district,, Kerman, province,, Iran","57.57054013, 28.95046741"
2021-04-25,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Borazjan,, Bushehr, province,, Iran","51.2120597, 29.2661428"
2021-04-25,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Kahnuj, district,, Kerman, province,, Iran","57.72427834, 27.99566687"
2021-04-25,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Chenaran, district,, Razavi, Khorasan, province,, Iran","59.0964723, 36.8127762"
2021-04-25,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Jiroft, district,, Kerman, province,, Iran","57.57054013, 28.95046741"
2021-04-25,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, in, Shiraz, district,, Fars, province,, Iran","52.51236196, 29.63186286"
2021-04-28,1,,,1,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, between, Larestan, and, Bandar-e-Abbas, counties,, Hormozgan, Province,Iran","55.78450707, 27.26241605"
2021-04-28,1,,1,,,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Afghanistan, to, Iran","Unspecified, location, between, Larestan, and, Bandar-e-Abbas, counties,, Hormozgan, Province,Iran","55.78450707, 27.26241605"
